ID,electricity_consumption,temperature_2m_max,temperature_2m_min,sunshine_duration,daylight_duration,wind_speed_10m_max,wind_direction_10m_dominant
cluster_2_2014-01-06,596.538,15.1,6.6,14958.946666666665,30990.03333333333,33.4,179.5065570214465
cluster_3_2014-01-06,851.93,15.4,1.6,21384.81333333333,31859.95333333333,19.9,163.52611052562594
cluster_4_2014-01-06,1225.174,13.2,3.5,19703.516666666663,31104.476666666666,28.7,188.67137096386045
cluster_1_2014-01-07,416.618,12.4,8.7,20601.4,30242.84333333333,31.7,203.6666365779404
cluster_2_2014-01-07,592.671,15.0,8.3,17669.77666666667,31073.7,28.9,177.85516690737563
cluster_3_2014-01-07,843.422,15.7,7.8,22104.01,31936.92333333333,21.7,152.24759942470828
cluster_4_2014-01-07,1215.204,13.0,8.0,20902.393333333337,31187.076666666664,22.7,189.66892705275163
cluster_1_2014-01-08,411.387,12.1,8.0,10466.929999999998,30338.546666666665,28.4,199.33312629990328
cluster_2_2014-01-08,594.316,14.8,7.5,18873.73,31162.74,28.1,174.13851692534885
cluster_3_2014-01-08,823.872,16.2,6.9,25902.99,32018.84333333333,16.6,151.12720078800368
cluster_4_2014-01-08,1197.977,13.4,8.4,19841.463333333333,31274.97333333333,19.7,187.3382575365306
cluster_1_2014-01-09,419.252,11.4,6.3,7693.66,30439.77,30.2,228.3349908640192
cluster_2_2014-01-09,595.645,14.9,6.4,9173.33,31256.916666666668,33.2,197.75033304584144
cluster_3_2014-01-09,844.132,14.6,5.9,20476.81333333333,32105.52666666667,19.6,166.94998652364907
cluster_4_2014-01-09,1219.023,12.7,6.0,10018.226666666667,31367.97,26.4,203.759508883394
cluster_1_2014-01-10,431.567,7.9,3.8,7013.95,30546.28,18.3,209.6558701729083
cluster_2_2014-01-10,620.063,14.4,3.9,17662.63,31356.033333333336,18.7,183.0707398931613
cluster_3_2014-01-10,850.071,13.6,3.8,18136.52333333333,32196.78,14.9,132.60652667866677
cluster_4_2014-01-10,1249.201,11.6,3.2,17600.816666666666,31465.846666666665,13.1,210.3012835059131
cluster_1_2014-01-11,382.602,9.6,0.9,22416.76333333333,30657.84,16.0,250.37971211087049
cluster_2_2014-01-11,554.199,12.0,1.2,20926.296666666665,31459.873333333333,19.2,127.86206782019195
cluster_3_2014-01-11,788.297,13.8,2.7,15091.33,32292.41333333333,13.2,160.8322917613557
cluster_4_2014-01-11,1153.637,12.0,3.2,20036.90333333333,31568.396666666667,14.9,234.5012129808676
cluster_1_2014-01-12,365.53,9.9,-0.1,391.5799999999999,30774.22,26.5,142.99322989193024
cluster_2_2014-01-12,538.948,15.2,-1.2,19727.006666666668,31568.226666666666,20.9,138.53097678009715
cluster_3_2014-01-12,763.775,15.3,1.1,27136.42,32392.226666666666,13.6,82.86481343144438
cluster_4_2014-01-12,1163.852,8.8,0.7,8140.88,31675.416666666668,17.4,132.4939263916864
cluster_1_2014-01-13,430.41,10.1,5.0,25038.8,30895.20333333333,26.5,203.0
cluster_2_2014-01-13,609.721,9.8,5.0,15496.3,31680.876666666667,23.7,221.76079342704188
cluster_3_2014-01-13,855.534,12.5,0.2,10660.306666666664,32496.04,16.4,188.11872889083293
cluster_4_2014-01-13,1285.531,9.9,3.8,12554.44,31786.69333333333,19.9,196.5742927398008
cluster_1_2014-01-14,454.45,7.5,2.6,17200.016666666666,31020.55,18.7,240.4423486376469
cluster_2_2014-01-14,648.781,8.6,1.7,6241.8,31797.623333333333,25.1,231.46902321990288
cluster_3_2014-01-14,890.146,10.8,2.9,17818.149999999998,32603.65333333333,18.1,254.70253383056863
cluster_4_2014-01-14,1327.803,7.7,1.3,21878.8,31902.02666666667,21.7,245.3317959140489
cluster_1_2014-01-15,459.737,10.9,1.3,0.0,31150.04,25.0,194.6647380507769
cluster_2_2014-01-15,650.786,9.8,2.3,0.0,31918.25333333333,22.9,182.06905147539928
cluster_3_2014-01-15,930.275,12.3,1.5,14922.73,32714.88666666667,25.4,215.9818920423237
cluster_4_2014-01-15,1371.295,8.6,-1.5,7247.59,32021.210000000003,24.4,187.72295225010643
cluster_1_2014-01-16,447.233,10.4,6.0,15419.703333333331,31283.45333333333,29.8,191.332753728081
cluster_2_2014-01-16,632.863,11.6,6.9,15419.056666666664,32042.56,27.6,174.47966150964572
cluster_3_2014-01-16,915.173,13.3,5.0,11185.506666666668,32829.55,27.6,179.12189577450306
cluster_4_2014-01-16,1313.58,10.1,3.9,5787.63,32144.04333333333,24.9,189.3379811536068
cluster_1_2014-01-17,439.022,9.8,5.7,8478.756666666666,31420.57,31.7,193.3329905781327
cluster_2_2014-01-17,632.613,13.6,2.4,22511.09,32170.349999999995,26.6,173.12662452776777
cluster_3_2014-01-17,882.095,13.8,2.2,23840.09333333333,32947.46666666667,19.5,175.33346500159422
cluster_4_2014-01-17,1282.559,10.6,1.9,25591.55,32270.33,23.9,169.22975087736603
cluster_1_2014-01-18,393.762,10.7,3.6,24490.75,31561.173333333336,22.5,151.66024690574218
cluster_2_2014-01-18,581.496,11.1,3.2,20655.09333333333,32301.416666666668,22.9,148.66996617033217
cluster_3_2014-01-18,825.347,11.4,1.0,9013.673333333334,33068.44666666666,26.2,149.9875877789444
cluster_4_2014-01-18,1172.01,12.2,2.1,23374.303333333333,32399.873333333333,18.3,149.3334650015942
cluster_1_2014-01-19,371.419,9.0,2.7,16185.08,31705.053333333333,20.4,203.2143154176944
cluster_2_2014-01-19,560.946,8.7,3.4,5744.183333333334,32435.56666666667,18.4,238.44354202785
cluster_3_2014-01-19,788.044,11.9,0.6,11779.306666666664,33192.31666666667,28.3,207.28093876776032
cluster_4_2014-01-19,1109.043,8.6,4.2,6833.533333333333,32532.476666666666,13.9,155.82606244138495
cluster_1_2014-01-20,453.806,7.7,-0.6,10987.19,31852.006666666668,20.1,280.24761022464327
cluster_2_2014-01-20,667.017,7.9,2.1,11625.153333333334,32572.61666666667,23.5,297.091908461974
cluster_3_2014-01-20,899.905,10.3,0.5,16568.486666666668,33318.9,28.5,298.1670031301051
cluster_4_2014-01-20,1294.663,7.8,3.5,6896.403333333333,32667.960000000003,17.6,315.33387178440324
cluster_1_2014-01-21,472.587,7.0,1.4,16830.61,32001.816666666666,22.3,208.12605351317265
cluster_2_2014-01-21,686.548,8.3,2.3,13408.94,32712.36,16.6,241.12417645633485
cluster_3_2014-01-21,938.044,10.5,1.0,19761.483333333334,33448.03333333333,33.9,261.66028212362903
cluster_4_2014-01-21,1371.562,5.7,0.2,3964.373333333333,32806.12333333333,21.8,296.25634666610097
cluster_1_2014-01-22,465.794,9.6,0.7,11825.35,32154.29333333333,26.0,170.24521576521045
cluster_2_2014-01-22,692.156,8.7,-1.0,0.0,32854.62,20.0,176.28294470084853
cluster_3_2014-01-22,949.148,12.0,0.7,21449.33,33579.526666666665,17.5,316.9992162986663
cluster_4_2014-01-22,1397.224,6.7,-1.3,13613.32,32946.79666666667,15.3,46.66061776880171
cluster_1_2014-01-23,471.658,8.5,1.5,15080.946666666669,32309.233333333334,26.4,254.9473444610972
cluster_2_2014-01-23,684.18,9.6,3.6,18934.116666666665,32999.22,23.8,256.3054354105841
cluster_3_2014-01-23,948.285,11.8,0.8,18254.20666666667,33713.22666666666,24.3,274.999568781783
cluster_4_2014-01-23,1355.092,9.1,1.1,16814.186666666665,33089.79666666667,21.1,248.0345057638509
cluster_1_2014-01-24,454.275,7.4,-0.8,9381.33,32466.45333333333,19.3,208.1639044536268
cluster_2_2014-01-24,664.028,10.3,0.4,9120.596666666666,33145.973333333335,28.1,244.0364795708444
cluster_3_2014-01-24,930.727,11.8,0.9,16149.46,33848.96333333333,27.2,289.5629348467376
cluster_4_2014-01-24,1350.428,6.7,-0.9,11233.143333333332,33234.94,17.4,291.2410104735159
cluster_1_2014-01-25,400.492,11.7,-0.4,11112.453333333331,32625.97666666667,34.0,222.92012128005723
cluster_2_2014-01-25,573.092,11.1,1.2,0.0,33294.91333333333,36.5,220.98884217504624
cluster_3_2014-01-25,859.76,12.3,-1.3,18574.34333333333,33986.78,34.7,283.4936490919458
cluster_4_2014-01-25,1260.206,8.8,-3.5,14524.383333333331,33382.26333333333,26.0,282.935047728193
cluster_1_2014-01-26,379.535,10.2,1.5,42.41333333333333,32789.46,32.0,239.6683322396841
cluster_2_2014-01-26,543.833,12.4,1.9,639.6866666666666,33447.59333333333,30.3,250.13728301035565
cluster_3_2014-01-26,796.004,12.4,2.3,15214.679999999998,34128.09,29.1,269.3118331957389
cluster_4_2014-01-26,1188.387,9.8,2.4,563.9133333333333,33533.3,29.2,213.9521622419486
cluster_1_2014-01-27,454.129,7.3,2.4,14125.243333333332,32957.06666666667,30.8,240.0006098385439
cluster_2_2014-01-27,655.594,11.3,1.6,22513.06,33604.15,30.5,246.3829872745497
cluster_3_2014-01-27,895.553,11.6,1.4,29711.373333333333,34273.05333333334,23.4,260.1957382797494
cluster_4_2014-01-27,1346.913,7.7,0.5,23939.41333333333,33688.193333333336,29.2,232.36950160345933
cluster_1_2014-01-28,476.409,8.0,2.0,10120.733333333332,33128.51666666666,27.7,190.9875877789444
cluster_2_2014-01-28,691.608,10.2,1.8,11575.653333333334,33764.33666666667,27.0,202.85699162845663
cluster_3_2014-01-28,951.703,9.4,-0.7,21295.58666666667,34421.42333333333,25.3,222.0899581818263
cluster_4_2014-01-28,1394.304,7.2,-1.4,16738.210000000003,33846.693333333336,23.0,179.35719584069514
cluster_1_2014-01-29,472.692,7.2,2.1,2853.7966666666666,33303.54,22.4,133.28564084078036
cluster_2_2014-01-29,681.955,11.0,2.4,12693.023333333333,33927.9,19.9,159.13797115757924
cluster_3_2014-01-29,973.585,11.2,-2.5,23818.61666666667,34572.96666666667,22.3,126.4421762701239
cluster_4_2014-01-29,1395.343,5.9,0.9,23.593333333333334,34008.55,19.1,150.37922185567126
cluster_1_2014-01-30,460.327,8.2,0.9,25311.22,33481.87333333333,11.4,164.67921948911732
cluster_2_2014-01-30,679.518,8.6,0.8,24940.64333333333,34094.59333333333,20.6,189.8318872505171
cluster_3_2014-01-30,964.089,9.6,-1.0,17101.046666666665,34727.46666666667,19.9,356.42576772418647
cluster_4_2014-01-30,1365.272,7.7,-0.4,14861.63,34173.53,13.7,168.0200118160419
cluster_1_2014-01-31,473.459,7.7,-0.7,408.8066666666667,33663.26,37.5,177.67807002124104
cluster_2_2014-01-31,697.474,8.4,-0.8,6412.883333333334,34264.18333333333,31.0,185.34412982709168
cluster_3_2014-01-31,966.319,11.2,-0.8,26512.186666666665,34884.70333333334,15.5,194.9848025473541
cluster_4_2014-01-31,1356.643,7.5,-1.5,18255.686666666665,34341.39,28.4,199.8862039368356
cluster_1_2014-02-01,412.037,9.8,3.4,18386.073333333334,33847.450000000004,33.0,208.0157485110373
cluster_2_2014-02-01,618.319,8.4,3.3,10180.86,34436.433333333334,33.6,208.6731989365752
cluster_3_2014-02-01,894.274,11.1,-1.1,14668.686666666666,35044.45666666667,20.0,183.6797619225792
cluster_4_2014-02-01,1229.825,8.9,2.7,4816.733333333334,34511.89666666667,33.2,193.65108565340765
cluster_1_2014-02-02,388.994,9.4,0.4,26868.27333333333,34034.19333333333,23.8,210.335261949223
cluster_2_2014-02-02,597.932,9.0,1.0,29858.186666666665,34611.1,22.9,229.7983742994755
cluster_3_2014-02-02,853.421,10.3,0.9,27137.213333333333,35206.52333333334,36.8,263.9789425506516
cluster_4_2014-02-02,1176.241,8.9,1.3,21338.52333333333,34684.829999999994,19.3,281.432269824292
cluster_1_2014-02-03,449.73,8.7,-0.6,28846.18333333333,34223.25,28.3,141.00817540661816
cluster_2_2014-02-03,666.807,10.6,0.1,28761.246666666662,34787.98333333334,23.1,136.07449058474447
cluster_3_2014-02-03,941.421,10.7,-1.6,26626.453333333327,35370.68333333333,21.4,121.7313307938622
cluster_4_2014-02-03,1312.356,10.3,-1.0,30149.52,34859.95666666667,20.1,154.78450502881014
cluster_1_2014-02-04,455.838,9.5,1.9,27378.06333333333,34414.386666666665,39.4,177.3333634220596
cluster_2_2014-02-04,661.852,12.0,0.2,27354.710000000003,34966.85,28.6,170.13644585492636
cluster_3_2014-02-04,939.231,12.3,0.4,27960.57,35536.74333333334,22.2,174.38928419463477
cluster_4_2014-02-04,1320.384,9.6,1.6,25260.923333333336,35037.07666666667,28.0,183.6689084421498
cluster_1_2014-02-05,468.071,9.3,4.8,12081.963333333331,34607.37666666667,41.8,190.3349942837838
cluster_2_2014-02-05,663.921,11.4,4.2,22307.536666666667,35147.486666666664,34.5,194.38760843315023
cluster_3_2014-02-05,958.969,11.2,-1.0,12124.073333333332,35704.496666666666,30.1,194.00302369368725
cluster_4_2014-02-05,1342.493,9.7,4.0,9531.163333333334,35215.96,35.3,187.3571958406952
cluster_1_2014-02-06,457.709,12.3,4.8,1387.55,34801.996666666666,36.4,190.66653499840567
cluster_2_2014-02-06,661.798,15.1,2.4,11753.886666666667,35329.689999999995,30.0,172.39991971870845
cluster_3_2014-02-06,929.521,18.3,3.0,29741.4,35873.76666666667,29.3,161.38682856429082
cluster_4_2014-02-06,1340.052,11.7,1.3,17936.100000000002,35396.416666666664,33.5,184.0091811596112
cluster_1_2014-02-07,431.02,11.5,5.1,27093.173333333336,34998.02333333334,43.8,222.00356445429648
cluster_2_2014-02-07,620.355,12.0,4.9,22076.09,35513.253333333334,45.7,234.3124108202716
cluster_3_2014-02-07,894.452,14.8,3.6,20881.070000000003,36044.34333333333,35.4,206.71635771078283
cluster_4_2014-02-07,1276.981,12.3,4.3,19482.156666666662,35578.24,45.1,205.726839449068
cluster_1_2014-02-08,400.586,10.3,5.2,19924.18,35195.26,41.6,202.33387178440324
cluster_2_2014-02-08,587.071,12.9,5.3,13491.893333333332,35697.986666666664,35.9,190.6955018694497
cluster_3_2014-02-08,857.979,13.0,3.3,16768.556666666667,36216.06,30.7,192.3668363386934
cluster_4_2014-02-08,1194.926,10.3,3.3,4080.98,35761.23,33.6,193.0165971337593
cluster_1_2014-02-09,389.987,8.9,4.1,30361.09,35393.48333333333,40.8,221.0
cluster_2_2014-02-09,579.802,11.1,2.5,25359.91333333333,35883.68,38.8,195.9530508719114
cluster_3_2014-02-09,822.896,11.7,3.3,24124.59333333333,36388.72666666666,24.4,219.4802525616406
cluster_4_2014-02-09,1153.111,10.9,2.6,29831.34,35945.19666666666,30.4,204.3970225231413
cluster_1_2014-02-10,435.2,8.9,2.3,11347.866666666669,35592.50666666666,24.5,226.5
cluster_2_2014-02-10,637.796,8.4,2.9,7906.653333333333,36070.15666666667,39.3,251.8999369243407
cluster_3_2014-02-10,908.894,12.1,-0.4,15497.136666666667,36562.16666666666,33.7,171.55174382125807
cluster_4_2014-02-10,1275.219,8.2,1.9,5883.916666666667,36129.956666666665,27.8,178.41939660988115
cluster_1_2014-02-11,456.81,8.3,2.8,9070.546666666669,35792.11666666667,33.9,218.66667042747105
cluster_2_2014-02-11,676.864,9.6,1.6,11131.743333333332,36257.23,37.4,230.0526555389028
cluster_3_2014-02-11,932.453,11.5,1.6,19657.016666666663,36736.206666666665,26.7,247.7771008186189
cluster_4_2014-02-11,1322.095,9.0,2.3,22345.006666666668,36315.31333333333,25.8,235.54392910313928
cluster_1_2014-02-12,461.594,9.0,1.0,17771.2,35992.136666666665,46.6,206.0
cluster_2_2014-02-12,674.99,12.7,0.7,24466.443333333333,36444.71666666667,38.7,216.5157259713125
cluster_3_2014-02-12,928.709,13.0,0.4,30229.766666666663,36910.68333333334,22.4,233.6919879751516
cluster_4_2014-02-12,1336.4,9.8,1.1,28682.150000000005,36501.09666666667,34.3,209.66619627955163
cluster_1_2014-02-13,462.176,8.0,3.6,17820.739999999998,36192.37333333333,32.1,235.00152529388333
cluster_2_2014-02-13,664.825,14.3,3.7,14377.89,36632.443333333336,36.7,238.32509590113312
cluster_3_2014-02-13,920.915,13.6,3.5,17675.02,37085.42333333333,33.1,202.8692904614106
cluster_4_2014-02-13,1327.419,11.4,3.8,17565.516666666666,36687.13333333333,36.9,216.8141421504756
cluster_1_2014-02-14,451.923,14.4,1.4,904.26,36392.87666666667,47.2,183.6661282155967
cluster_2_2014-02-14,647.379,17.6,1.8,12984.94,36820.443333333336,37.1,168.70756029966023
cluster_3_2014-02-14,897.669,19.5,1.4,22609.32,37260.47,29.5,160.87455533520856
cluster_4_2014-02-14,1329.415,13.6,1.9,4925.849999999999,36873.46333333333,32.1,181.35593600032405
cluster_1_2014-02-15,386.59,11.7,7.0,23279.23,36595.43666666667,40.1,220.3336344040273
cluster_2_2014-02-15,563.5,12.8,6.6,12377.493333333332,37010.41,39.6,242.02746723332365
cluster_3_2014-02-15,802.671,15.5,6.0,16106.669999999998,37437.39666666667,32.1,182.28488746143108
cluster_4_2014-02-15,1136.583,14.5,6.9,7690.78,37061.76,35.0,211.07171384231685
cluster_1_2014-02-16,369.696,11.0,4.4,28883.466666666664,36800.30666666666,22.9,219.6620188463932
cluster_2_2014-02-16,548.729,10.1,3.5,22516.74,37202.583333333336,24.0,225.672307968176
cluster_3_2014-02-16,764.825,14.5,2.9,21655.3,37616.41,18.9,240.43199752031623
cluster_4_2014-02-16,1097.638,10.4,3.3,21755.326666666668,37252.24,22.8,192.073255073948
cluster_1_2014-02-17,420.164,11.0,3.1,20969.22,37007.28,26.4,180.32956305530232
cluster_2_2014-02-17,617.451,13.3,0.4,24848.51333333333,37396.75666666666,21.3,163.31677077031688
cluster_3_2014-02-17,846.051,14.6,-0.2,33901.113333333335,37797.333333333336,15.0,193.22309875765163
cluster_4_2014-02-17,1239.412,10.6,-1.4,28462.55666666666,37444.72666666667,18.6,169.57325507394793
cluster_1_2014-02-18,436.378,12.2,1.9,26866.140000000003,37216.14333333333,17.7,183.98916446588115
cluster_2_2014-02-18,632.378,13.4,2.7,20815.7,37592.74,17.3,173.41786625069895
cluster_3_2014-02-18,885.625,17.7,-0.4,30357.11333333333,37979.98333333333,12.9,212.67797020306216
cluster_4_2014-02-18,1284.857,13.4,-0.1,25731.960000000003,37639.01666666667,14.8,176.0836416861127
cluster_1_2014-02-19,430.172,11.3,3.8,21664.23,37426.71,19.5,236.66449361619107
cluster_2_2014-02-19,617.532,11.5,5.2,23085.786666666667,37790.35,18.8,250.083880128717
cluster_3_2014-02-19,871.564,15.0,2.5,30234.79,38164.19,27.4,267.8007381764595
cluster_4_2014-02-19,1264.084,11.3,0.5,21381.33333333333,37834.93,15.3,271.48375185593744
cluster_1_2014-02-20,420.347,11.7,4.5,5054.743333333333,37638.776666666665,28.8,202.00817540661816
cluster_2_2014-02-20,605.004,11.0,5.2,47.92,37989.39666666667,27.0,199.67043694469768
cluster_3_2014-02-20,860.33,14.7,0.6,24077.013333333336,38349.78666666667,27.2,236.4167059311468
cluster_4_2014-02-20,1240.346,11.6,0.6,18893.126666666667,38032.293333333335,25.4,214.94076702477008
cluster_1_2014-02-21,424.91,9.3,4.0,33412.333333333336,37852.16,24.9,233.0001015623428
cluster_2_2014-02-21,617.209,9.8,4.5,29597.95,38189.71333333334,26.8,245.4643493895731
cluster_3_2014-02-21,861.539,12.1,2.3,23297.67,38536.59666666667,21.2,255.20302258327115
cluster_4_2014-02-21,1225.193,10.6,2.0,32480.90333333333,38230.91666666666,23.7,234.33550638380893
cluster_1_2014-02-22,389.065,10.7,2.9,23866.396666666664,38066.67999999999,23.9,221.04166545749248
cluster_2_2014-02-22,565.824,13.2,2.9,24723.966666666664,38391.11666666667,23.0,232.8621545476304
cluster_3_2014-02-22,815.857,13.0,-0.0,28869.306666666667,38724.46666666667,24.0,242.5477661504569
cluster_4_2014-02-22,1146.699,10.9,-1.1,14863.593333333332,38430.63333333333,20.5,207.7063214562182
cluster_1_2014-02-23,345.444,13.1,3.6,31770.646666666667,38282.14333333333,29.1,180.33835425574983
cluster_2_2014-02-23,516.843,15.4,2.9,32519.526666666672,38593.43666666667,27.4,161.07967304655963
cluster_3_2014-02-23,756.518,14.7,1.7,34938.62666666667,38913.22666666666,15.9,163.42593096214466
cluster_4_2014-02-23,1057.759,12.6,2.6,27131.349999999995,38631.27,18.0,160.81929656058955
cluster_1_2014-02-24,397.942,14.9,3.3,34584.35333333333,38498.37666666667,25.2,171.6650057162162
cluster_2_2014-02-24,576.184,15.1,4.5,34961.166666666664,38796.51666666667,25.5,157.69660507394494
cluster_3_2014-02-24,830.584,16.7,-0.3,34981.513333333336,39102.723333333335,22.3,154.32522629437514
cluster_4_2014-02-24,1180.112,14.1,1.1,35127.41333333334,38832.67333333333,26.3,177.66890844214984
cluster_1_2014-02-25,417.616,11.6,6.0,22014.916666666668,38715.206666666665,31.4,197.0036758364123
cluster_2_2014-02-25,601.59,15.0,6.2,21972.463333333333,39000.18,31.6,174.15835922835564
cluster_3_2014-02-25,867.128,13.3,1.6,31028.946666666667,39292.80666666666,22.6,181.37442753908616
cluster_4_2014-02-25,1214.777,13.0,4.4,22858.55,39034.65666666667,28.6,188.66024690574216
cluster_1_2014-02-26,423.075,10.5,2.3,32374.290000000005,38932.47,18.1,230.3333634220596
cluster_2_2014-02-26,620.032,10.5,2.7,35120.513333333336,39204.27,22.1,241.9334679317284
cluster_3_2014-02-26,874.063,10.9,5.1,25220.493333333336,39483.316666666666,21.2,271.12020609536
cluster_4_2014-02-26,1226.569,10.4,2.4,14833.64,39237.083333333336,13.7,264.5803684795077
cluster_1_2014-02-27,437.17,9.8,1.9,17138.0,39149.99333333334,32.2,212.42134029171703
cluster_2_2014-02-27,645.949,10.5,2.3,10775.093333333332,39408.63,31.1,218.8961242658732
cluster_3_2014-02-27,910.067,12.6,1.0,23936.97,39674.10999999999,26.4,243.3599095902406
cluster_4_2014-02-27,1286.986,9.5,-1.3,14276.853333333333,39439.783333333326,28.6,206.6799949948212
cluster_1_2014-02-28,444.866,8.8,2.7,19365.01,39367.60666666667,27.1,202.90809153802604
cluster_2_2014-02-28,650.855,9.0,3.1,12051.123333333337,39613.1,37.2,219.2614515961732
cluster_3_2014-02-28,907.733,11.8,3.0,21238.54,39865.04,32.8,246.9972966086964
cluster_4_2014-02-28,1280.99,9.0,3.1,11806.306666666664,39642.60333333333,28.5,191.0279907236704
cluster_1_2014-03-01,398.491,8.3,1.8,30232.20333333333,39585.16333333333,23.1,283.94176306468535
cluster_2_2014-03-01,594.09,9.6,1.7,15400.246666666666,39817.53666666667,29.5,278.03961791197645
cluster_3_2014-03-01,837.212,11.5,0.6,23256.15333333333,40055.96,29.7,257.7671859659696
cluster_4_2014-03-01,1171.739,8.8,0.7,29434.86,39845.39666666667,18.0,287.6617688858012
cluster_1_2014-03-02,374.029,9.0,-2.0,20409.53,39802.48,32.1,183.6666365779404
cluster_2_2014-03-02,559.395,11.9,-2.0,29884.28,40021.776666666665,28.6,220.34011379233567
cluster_3_2014-03-02,796.965,12.7,0.5,28969.3,40246.73,28.7,318.605872426561
cluster_4_2014-03-02,1118.421,9.3,-2.7,31130.119999999995,40048.0,25.2,348.32202979693784
cluster_1_2014-03-03,429.845,9.5,3.6,32917.536666666674,40019.42333333333,28.9,203.6955018694497
cluster_2_2014-03-03,627.246,10.4,2.7,31282.04333333333,40225.67333333333,36.0,217.7206695149017
cluster_3_2014-03-03,893.239,11.5,-0.1,21126.63333333333,40437.206666666665,28.7,256.2904307495511
cluster_4_2014-03-03,1250.664,10.8,2.7,25411.75,40250.28,27.4,193.3842553568348
cluster_1_2014-03-04,429.804,10.2,-0.6,30070.65,40235.82666666667,16.6,273.4109514477507
cluster_2_2014-03-04,628.781,10.6,1.5,30212.08333333333,40429.083333333336,32.8,271.31876632240585
cluster_3_2014-03-04,893.635,12.1,1.4,33537.96,40627.243333333325,41.4,316.37263789155827
cluster_4_2014-03-04,1273.606,10.4,0.5,18446.75333333333,40452.07666666667,23.5,306.82802253553183
cluster_1_2014-03-05,411.797,11.5,-0.2,33814.083333333336,40451.530000000006,10.6,5.76351681348604
cluster_2_2014-03-05,599.952,13.1,0.5,33812.83666666667,40631.85666666667,16.6,318.16230890786966
cluster_3_2014-03-05,856.296,15.5,1.5,34506.48666666667,40816.70666666667,27.2,9.382561416537206
cluster_4_2014-03-05,1244.468,11.6,-0.7,35175.30333333334,40653.246666666666,22.7,357.0200118160419
cluster_1_2014-03-06,413.929,13.3,-1.6,35689.560000000005,40666.6,13.1,148.01104603969097
cluster_2_2014-03-06,592.675,13.4,-0.1,36499.443333333336,40834.04666666667,15.5,175.05030776097286
cluster_3_2014-03-06,848.902,17.0,-0.4,37376.35333333333,41005.65,21.5,21.97267921206713
cluster_4_2014-03-06,1233.315,12.8,0.8,36670.833333333336,40853.84333333333,18.1,34.90537409646218
cluster_1_2014-03-07,404.167,13.7,-1.0,24035.33333333333,40882.67333333333,13.0,199.26029275126845
cluster_2_2014-03-07,580.587,15.9,-0.2,32467.33666666667,41037.193333333336,17.1,215.0464643558289
cluster_3_2014-03-07,831.807,18.0,0.9,37566.28,41195.50666666667,12.6,11.971090983046867
cluster_4_2014-03-07,1195.148,14.1,-0.4,35288.34666666667,41055.40333333333,11.2,324.6958661939676
cluster_1_2014-03-08,341.704,17.4,1.7,36886.23333333333,41100.026666666665,18.7,127.07808369771502
cluster_2_2014-03-08,497.823,18.4,0.1,36839.456666666665,41241.55666666667,27.4,119.9334679317284
cluster_3_2014-03-08,736.081,18.7,1.1,37719.346666666665,41386.51666666666,13.6,63.600167423825525
cluster_4_2014-03-08,1045.705,16.5,1.1,37114.16333333334,41258.17333333333,18.4,42.80258160027336
cluster_1_2014-03-09,303.554,18.9,4.2,37131.53666666667,41318.5,16.3,146.73551047911397
